Name,Type,Cat.,Power,Acc.,PP,Effect
"10,000,000 Volt Thunderbolt",ELECTRIC,,195,—,1,Pikachu-exclusive Z-Move.
Absorb,GRASS,,20,100,25,User recovers half the HP inflicted on opponent.
Accelerock,ROCK,,40,100,20,User attacks first.
Acid,POISON,,40,100,30,May lower opponent's Special Defense.
Acid Armor,POISON,,—,—,20,Sharply raises user's Defense.
Acid Downpour,POISON,—,—,—,1,Poison type Z-Move.
Acid Spray,POISON,,40,100,20,Sharply lowers opponent's Special Defense.
Acrobatics,FLYING,,55,100,15,Stronger when the user does not have a held item.
Acupressure,NORMAL,,—,—,30,Sharply raises a random stat.
Aerial Ace,FLYING,,60,∞,20,Ignores Accuracy and Evasiveness.
Aeroblast,FLYING,,100,95,5,High critical hit ratio.
After You,NORMAL,,—,—,15,Gives target priority in the next turn.
Agility,PSYCHIC,,—,—,30,Sharply raises user's Speed.
Air Cutter,FLYING,,60,95,25,High critical hit ratio.
Air Slash,FLYING,,75,95,20,May cause flinching.
All-Out Pummeling,FIGHTING,—,—,—,1,Fighting type Z-Move.
Ally Switch,PSYCHIC,,—,—,15,User switches with opposite teammate.
Amnesia,PSYCHIC,,—,—,20,Sharply raises user's Special Defense.
Anchor Shot,STEEL,,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Ancient Power,ROCK,,60,100,5,May raise all user's stats at once.
Aqua Jet,WATER,,40,100,20,User attacks first.
Aqua Ring,WATER,,—,—,20,Restores a little HP each turn.
Aqua Tail,WATER,,90,90,10,
Arm Thrust,FIGHTING,,15,100,20,Hits 2-5 times in one turn.
Aromatherapy,GRASS,,—,—,5,Cures all status problems in your party.
Aromatic Mist,FAIRY,,—,—,20,Raises Special Defense of allies.
Assist,NORMAL,,—,—,20,User performs a move known by its allies at random.
Assurance,DARK,,60,100,10,Power doubles if opponent already took damage in the same turn.
Astonish,GHOST,,30,100,15,May cause flinching.
Attack Order,BUG,,90,100,15,High critical hit ratio.
Attract,NORMAL,,—,100,15,"If opponent is the opposite gender, it's less likely to attack."
Aura Sphere,FIGHTING,,80,∞,20,Ignores Accuracy and Evasiveness.
Aurora Beam,ICE,,65,100,20,May lower opponent's Attack.
Aurora Veil,ICE,,—,—,20,Halves damage from Physical and Special attacks for five turns.
Autotomize,STEEL,,—,—,15,Reduces weight and sharply raises Speed.
Avalanche,ICE,,60,100,10,Power doubles if user took damage first.
Baby-Doll Eyes,FAIRY,,—,100,30,Always goes first. Lowers the target's attack.
Baddy Bad,DARK,,90,100,15,Reduces damage from Physical attacks.
Baneful Bunker,POISON,,—,—,10,Protects the user and poisons opponent on contact.
Barrage,NORMAL,,15,85,20,Hits 2-5 times in one turn.
Barrier,PSYCHIC,,—,—,20,Sharply raises user's Defense.
Baton Pass,NORMAL,,—,—,40,User switches out and gives stat changes to the incoming Pokémon.
Beak Blast,FLYING,,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
Beat Up,DARK,,—,100,30,Each Pokémon in your party attacks.
Belch,POISON,,120,90,10,User must have consumed a Berry.
Belly Drum,NORMAL,,—,—,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bestow,NORMAL,,—,—,15,Gives the user's held item to the target.
Bide,NORMAL,,—,—,10,User takes damage for two turns then strikes back double.
Bind,NORMAL,,15,85,20,"Traps opponent, damaging them for 4-5 turns."
Bite,DARK,,60,100,25,May cause flinching.
Black Hole Eclipse,DARK,—,—,—,1,Dark type Z-Move.
Blast Burn,FIRE,,150,90,5,User must recharge next turn.
Blaze Kick,FIRE,,85,90,10,High critical hit ratio. May burn opponent.
Blizzard,ICE,,110,70,5,May freeze opponent.
Block,NORMAL,,—,—,5,Opponent cannot flee or switch.
Bloom Doom,GRASS,—,—,—,1,Grass type Z-Move.
Blue Flare,FIRE,,130,85,5,May burn opponent.
Body Slam,NORMAL,,85,100,15,May paralyze opponent.
Bolt Strike,ELECTRIC,,130,85,5,May paralyze opponent.
Bone Club,GROUND,,65,85,20,May cause flinching.
Bone Rush,GROUND,,25,90,10,Hits 2-5 times in one turn.
Bonemerang,GROUND,,50,90,10,Hits twice in one turn.
Boomburst,NORMAL,,140,100,10,Hits all adjacent Pokémon.
Bounce,FLYING,,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent."
Bouncy Bubble,WATER,,90,100,15,User recovers half the HP inflicted on opponent.
Brave Bird,FLYING,,120,100,15,User receives recoil damage.
Breakneck Blitz,NORMAL,—,—,—,1,Normal type Z-Move.
Brick Break,FIGHTING,,75,100,15,Breaks through Reflect and Light Screen barriers.
Brine,WATER,,65,100,10,Power doubles if opponent's HP is less than 50%.
Brutal Swing,DARK,,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.
Bubble,WATER,,40,100,30,May lower opponent's Speed.
Bubble Beam,WATER,,65,100,20,May lower opponent's Speed.
Bug Bite,BUG,,60,100,20,Receives the effect from the opponent's held berry.
Bug Buzz,BUG,,90,100,10,May lower opponent's Special Defense.
Bulk Up,FIGHTING,,—,—,20,Raises user's Attack and Defense.
Bulldoze,GROUND,,60,100,20,Lowers opponent's Speed.
Bullet Punch,STEEL,,40,100,30,User attacks first.
Bullet Seed,GRASS,,25,100,30,Hits 2-5 times in one turn.
Burn Up,FIRE,,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
Buzzy Buzz,ELECTRIC,,90,100,15,Paralyzes the opponent.
Calm Mind,PSYCHIC,,—,—,20,Raises user's Special Attack and Special Defense.
Camouflage,NORMAL,,—,—,20,Changes user's type according to the location.
Captivate,NORMAL,,—,100,20,Sharply lowers opponent's Special Attack if opposite gender.
Catastropika,ELECTRIC,,210,—,1,Pikachu-exclusive Z-Move.
Celebrate,NORMAL,,—,—,40,The Pokémon congratulates you on your special day. No battle effect.
Charge,ELECTRIC,,—,—,20,Raises user's Special Defense and next Electric move's power increases.
Charge Beam,ELECTRIC,,50,90,10,May raise user's Special Attack.
Charm,FAIRY,,—,100,20,Sharply lowers opponent's Attack.
Chatter,FLYING,,65,100,20,Confuses opponent.
Chip Away,NORMAL,,70,100,20,Ignores opponent's stat changes.
Circle Throw,FIGHTING,,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs."
Clamp,WATER,,35,85,10,"Traps opponent, damaging them for 4-5 turns."
Clanging Scales,DRAGON,,110,100,5,Lowers user's Defense.
Clangorous Soulblaze,DRAGON,,185,—,1,Kommo-o exclusive Z-Move.
Clear Smog,POISON,,50,—,15,Removes all of the target's stat changes.
Close Combat,FIGHTING,,120,100,5,Lowers user's Defense and Special Defense.
Coil,POISON,,—,—,20,"Raises user's Attack, Defense and Accuracy."
Comet Punch,NORMAL,,18,85,15,Hits 2-5 times in one turn.
Confide,NORMAL,,—,—,20,Lowers opponent's Special Attack.
Confuse Ray,GHOST,,—,100,10,Confuses opponent.
Confusion,PSYCHIC,,50,100,25,May confuse opponent.
Constrict,NORMAL,,10,100,35,May lower opponent's Speed by one stage.
Continental Crush,ROCK,—,—,—,1,Rock type Z-Move.
Conversion,NORMAL,,—,—,30,Changes user's type to that of its first move.
Conversion 2,NORMAL,,—,—,30,User changes type to become resistant to opponent's last move.
Copycat,NORMAL,,—,—,20,Copies opponent's last move.
Core Enforcer,DRAGON,,100,100,10,Scorches a 'Z' pattern on the ground.
Corkscrew Crash,STEEL,—,—,—,1,Steel type Z-Move.
Cosmic Power,PSYCHIC,,—,—,20,Raises user's Defense and Special Defense.
Cotton Guard,GRASS,,—,—,10,Drastically raises user's Defense.
Cotton Spore,GRASS,,—,100,40,Sharply lowers opponent's Speed.
Counter,FIGHTING,,—,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
Covet,NORMAL,,60,100,25,Opponent's item is stolen by the user.
Crabhammer,WATER,,100,90,10,High critical hit ratio.
Crafty Shield,FAIRY,,—,—,10,Protects the Pokémon from status moves.
Cross Chop,FIGHTING,,100,80,5,High critical hit ratio.
Cross Poison,POISON,,70,100,20,High critical hit ratio. May poison opponent.
Crunch,DARK,,80,100,15,May lower opponent's Defense.
Crush Claw,NORMAL,,75,95,10,May lower opponent's Defense.
Crush Grip,NORMAL,,—,100,5,More powerful when opponent has higher HP.
Curse,GHOST,,—,—,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Cut,NORMAL,,50,95,30,
Dark Pulse,DARK,,80,100,15,May cause flinching.
Dark Void,DARK,,—,50,10,Puts all adjacent opponents to sleep.
Darkest Lariat,DARK,,85,100,10,Ignores opponent's stat changes.
Dazzling Gleam,FAIRY,,80,100,10,Hits all adjacent opponents.
Defend Order,BUG,,—,—,10,Raises user's Defense and Special Defense.
Defense Curl,NORMAL,,—,—,40,Raises user's Defense.
Defog,FLYING,,—,—,15,Lowers opponent's Evasiveness and clears fog.
Destiny Bond,GHOST,,—,—,5,"If the user faints, the opponent also faints."
Detect,FIGHTING,,—,—,5,"Protects the user, but may fail if used consecutively."
Devastating Drake,DRAGON,—,—,—,1,Dragon type Z-Move.
Diamond Storm,ROCK,,100,95,5,May raise user's Defense
Dig,GROUND,,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,NORMAL,,—,100,20,Opponent can't use its last attack for a few turns.
Disarming Voice,FAIRY,,40,∞,15,Ignores Accuracy and Evasiveness.
Discharge,ELECTRIC,,80,100,15,May paralyze opponent.
Dive,WATER,,80,100,10,"Dives underwater on first turn, attacks on second turn."
Dizzy Punch,NORMAL,,70,100,10,May confuse opponent.
Doom Desire,STEEL,,140,100,5,Damage occurs 2 turns later.
Double Hit,NORMAL,,35,90,10,Hits twice in one turn.
Double Iron Bash,STEEL,,60,100,5,Hits twice in one turn; may cause flinching.
Double Kick,FIGHTING,,30,100,30,Hits twice in one turn.
Double Slap,NORMAL,,15,85,10,Hits 2-5 times in one turn.
Double Team,NORMAL,,—,—,15,Raises user's Evasiveness.
Double-Edge,NORMAL,,120,100,15,User receives recoil damage.
Draco Meteor,DRAGON,,130,90,5,Sharply lowers user's Special Attack.
Dragon Ascent,FLYING,,120,100,5,Lowers user's Defense and Special Defense.
Dragon Breath,DRAGON,,60,100,20,May paralyze opponent.
Dragon Claw,DRAGON,,80,100,15,
Dragon Dance,DRAGON,,—,—,20,Raises user's Attack and Speed.
Dragon Hammer,DRAGON,,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.
Dragon Pulse,DRAGON,,85,100,10,
Dragon Rage,DRAGON,,—,100,10,Always inflicts 40 HP.
Dragon Rush,DRAGON,,100,75,10,May cause flinching.
Dragon Tail,DRAGON,,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs."
Drain Punch,FIGHTING,,75,100,10,User recovers half the HP inflicted on opponent.
Draining Kiss,FAIRY,,50,100,10,User recovers most the HP inflicted on opponent.
Dream Eater,PSYCHIC,,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
Drill Peck,FLYING,,80,100,20,
Drill Run,GROUND,,80,95,10,High critical hit ratio.
Dual Chop,DRAGON,,40,90,15,Hits twice in one turn.
Dynamic Punch,FIGHTING,,100,50,5,Confuses opponent.
Earth Power,GROUND,,90,100,10,May lower opponent's Special Defense.
Earthquake,GROUND,,100,100,10,Power is doubled if opponent is underground from using Dig.
Echoed Voice,NORMAL,,40,100,15,Power increases each turn.
Eerie Impulse,ELECTRIC,,—,100,15,Sharply lowers opponent's Special Attack.
Egg Bomb,NORMAL,,100,75,10,
